instance_id,solver_name,n_backdoor_leaves,backdoor_depth,whole_runtime,whole_decisions,whole_propagations,whole_restarts,whole_conflicts,leaves_runtime,leaves_decisions,leaves_propagations,leaves_restarts,leaves_conflicts,tautology_check_runtime
0,minisat22,548,12,1.899871032,34138,44997,25,4739,0.0017449250000005634,0,5751,548,593,0.003469881000000896
0,glucose41,548,12,4.587468867999995,52597,78491,19,9911,0.0020182129999994913,0,5751,548,593,0.00512601199999807
0,cadical153,548,12,5.103446172999995,75364,126942,33,17364,0.0021829849999974726,0,5808,0,596,0.0038981889999973873
0,lingeling,548,12,34.796512499,131474,198981,2,20441,0.0059928610000099525,5064,5109,0,544,0.009600466999998503
1,minisat22,542,11,0.362362614999995,15516,22220,15,2938,0.00048314000000004853,0,5303,542,677,0.0016857800000025236
1,glucose41,542,11,1.5254203100000154,45064,85641,3,13890,0.0005473569999878691,0,5303,542,677,0.002607975999978862
1,cadical153,542,11,1.1586959830000012,23760,39319,23,5483,0.0009153780000019651,0,5336,0,673,0.0020772219999969366
1,lingeling,542,11,7.494869077999994,54888,85672,3,10914,0.0024646619999941777,4421,4493,0,539,0.004661044000016545
2,minisat22,546,12,1.8397858990000202,29161,39709,25,4667,0.0008416450000083842,0,5721,546,605,0.0029969050000033803
2,glucose41,546,12,5.064369575000001,56312,86948,20,11401,0.0009118150000233527,0,5721,546,605,0.0037473680000061904
2,cadical153,546,12,5.442650172000015,67256,117450,28,16757,0.0016143819999854259,0,5751,0,609,0.006435414000009132
2,lingeling,546,12,82.68834557399998,347363,492836,0,37761,0.0066344440000420946,4986,5043,0,535,0.008267744000022503
3,minisat22,546,12,2.010935712000048,32371,43002,25,4660,0.0025385050000181764,0,5859,546,654,0.003078966000032324
3,glucose41,546,12,6.213232630999983,60614,92273,21,11999,0.0029350940000085757,0,5859,546,654,0.004017549000025156
3,cadical153,546,12,4.750436081000032,72109,125710,19,17546,0.0022392829999944297,0,5940,0,653,0.0036101529999541526
3,lingeling,546,12,44.64320211500001,172317,255954,1,24953,0.004108606999977837,4993,5079,0,535,0.009136296000008315
4,minisat22,545,11,2.0753837319999775,33039,44222,27,4971,0.0012551910000411226,0,5850,545,642,0.0033475149999731
4,glucose41,545,11,8.009464177999973,83696,127463,23,16233,0.0014102630000252248,0,5850,545,642,0.0036972130000094694
4,cadical153,545,11,5.065711529999987,70004,120335,25,17068,0.0017933389999598148,0,5905,0,647,0.004739524999990863
4,lingeling,545,11,31.748990101999993,118500,181556,2,19732,0.005346278000047278,5020,5064,0,540,0.01116306699998404
5,minisat22,544,12,1.9771891409999398,31045,40585,22,4339,0.0023468950000733457,0,5815,544,641,0.0029969740000979073
5,glucose41,544,12,5.664820257999963,54232,80422,26,10241,0.002538146000006236,0,5815,544,641,0.00572167999996509
5,cadical153,544,12,3.633369812000069,55781,96274,22,13317,0.0018392949999679331,0,5813,0,641,0.0041115880000006655
5,lingeling,544,12,12.965149118999989,53583,76123,3,8438,0.0056458279999560546,4971,5027,0,535,0.00854675400000815
6,minisat22,546,12,1.7040730700000495,28948,39999,24,4596,0.0012324350000199047,0,5771,546,658,0.0026390750000473417
